Students,take,part,in,extracurricular,activities,,,,,,
NNS,VBP,NN,IN,JJ,NNS,,,,,,
,,,,,,,,,,,
The,manager,gives,work,to,an,employee,,,,,
DT,NN,VBZ,VBP,TO,DT,NN,,,,,
,,,,,,,,,,,
An,organisation,appraises,its,employees,for,good,work,,,,
DT,NN,VBZ,PRP$,NN,IN,JJ,VBP,,,,
,,,,,,,,,,,
A,class,consists,of,sixty,students,,,,,,
DT,NN,VBZ,IN,CD,NNS,,,,,,
,,,,,,,,,,,
A,professor,teaches,students,some,subject,,,,,,
DT,NN,VBZ,NNS,DT,NN,,,,,,
,,,,,,,,,,,
Students,are,taught,by,some,professors,,,,,,
NNS,VBP,VBP,IN,DT,NNS,,,,,,
,,,,,,,,,,,
An,employee,is,recruited,by,a,manager,,,,,
DT,NN,VBZ,VBN,IN,DT,NN,,,,,
,,,,,,,,,,,
A,manager,recruits,an,employee,,,,,,,
DT,NN,VBZ,FT,NN,,,,,,,
,,,,,,,,,,,
Food,can,be,either,vegetarian,or,non-vegetarian,,,,,
NNP,MD,VB,CC,JJ,CC,JJ,,,,,
,,,,,,,,,,,
A,computer,is,manufactured,by,a,manufacturing,company,,,,
DT,NN,VBZ,VBN,IN,DT,VBG,NN,,,,
,,,,,,,,,,,
Robbers,rob,banks,for,a,living,,,,,,
NNS,NN,NNS,IN,DT,NN,,,,,,
,,,,,,,,,,,
Banks,use,guards,as,protection,against,thieves,,,,,
NNS,VBP,NNS,IN,NN,IN,NNS,,,,,
,,,,,,,,,,,
A,computer,can,be,either,a,laptop,or,desktop,,,
DT,NN,MD,VB,CC,DT,NN,CC,NN,,,
,,,,,,,,,,,
The,patient,is,prescribed,medicines,according,to,ailment,,,,
DT,NN,VBZ,JJ,NNS,VBG,TO,NN,,,,
,,,,,,,,,,,
Doctor,discharges,the,patient,after,treatment,,,,,,
NN,VBZ,DT,NN,IN,NN,,,,,,
,,,,,,,,,,,
A,patient,has,an,ID,name,sex,age,and,city,,
DT,NN,VBZ,DT,NN,NN,NN,NN,CC,NN,,
,,,,,,,,,,,
A ,ward,may,be,either,a,general,ward,or,a,private,ward
DT,NN,MD,VB,CC,DT,JJ,NN,CC,DT,JJ,NN
,,,,,,,,,,,
Each,room,has,a,room,number,and,room,ID,,,
DT,NN,VBZ,DT,NN,NN,CC,NN,NN,,,
,,,,,,,,,,,
A,receptionist,takes,feedback,from,the,customers,of,the,hotel,,
DT,NN,VBZ,NN,IN,DT,NNS,IN,DT,NN,,
,,,,,,,,,,,
Library,books,are,purchased,from,a,wholesaler,,,,,
NNP,NNS,VBP,VBN,IN,DT,NN,,,,,
,,,,,,,,,,,
Books,are,identified,by,their,name,author,edition,and,publication,,
NNS,VBP,VBN,IN,PRP$,NN,NN,NN,CC,NN,,
,,,,,,,,,,,
Mobiles,of,different,companies,are,compared,,,,,,
NNS,IN,JJ,NNS,VBP,VBN,,,,,,
,,,,,,,,,,,
Every,mobile,has,an,operating,system,phone,memory,processor,frequency,,
DT,JJ,VBZ,DT,NN,NN,NN,NN,NN,NN,,
,,,,,,,,,,,
A,mobile,is,identified,by,IMEI,number,,,,,
DT,JJ,VBZ,VBN,IN,NN,NN,,,,,
,,,,,,,,,,,
A,mobile,is,owned,by,a,user,,,,,
DT,JJ,VBZ,VBN,IN,DT,NN,,,,,
,,,,,,,,,,,
Mobile,is,manufactured,by,a,company,,,,,,
NNP,VBZ,VBN,IN,DT,NN,,,,,,
,,,,,,,,,,,
Mobile,has,a,fixed,price,,,,,,,
NNP,VBZ,DT,JJ,NN,,,,,,,
,,,,,,,,,,,
A,shop,sells,mobiles,,,,,,,,
DT,NN,VBZ,NNS,,,,,,,,
,,,,,,,,,,,
Mobiles,sold,by,a,shop,are,recorded,in,the,database,,
NNS,VBN,IN,DT,NN,VBP,VBN,IN,DT,NN,,
,,,,,,,,,,,
Customers,buy,mobiles,from,a,shop,,,,,,
NNS,VBP,NNS,IN,DT,NN,,,,,,
,,,,,,,,,,,
IMEI,number,uniquely,identifies,a,mobile,,,,,,
NN,NN,RB,VBZ,DT,NN,,,,,,
,,,,,,,,,,,
A,flat,belongs,to,a,building,,,,,,
DT,JJ,VBZ,TO,DT,NN,,,,,,
,,,,,,,,,,,
A,building,has,some,number,of,flats,,,,,
DT,NN,VBZ,DT,NN,IN,NNS,,,,,
,,,,,,,,,,,
A,flat,has,a,flat,number,,,,,,
DT,JJ,VBZ,DT,JJ,NN,,,,,,
,,,,,,,,,,,
Owner,of,a,flat,is,identified,by,his,name,,,
NNP,IN,DT,JJ,VBZ,VBN,IN,PRP$,NN,,,
,,,,,,,,,,,
A,swimming,pool,has,a,length,and,breadth,,,,
DT,VBG,NN,VBZ,DT,NN,CC,NN,,,,
,,,,,,,,,,,
A,swimming,pool,is,booked,for,many,events,,,,
DT,VBG,NN,VBZ,VBN,IN,JJ,NNS,,,,
,,,,,,,,,,,
For,an,event,every,swimmer,is,allotted,a,lane,,,
IN,DT,NN,DT,NN,VBz,VBN,DT,NN,,,
,,,,,,,,,,,
To,keep,track,of,players,participating,in,events,,,,
TO,VB,NN,IN,NNS,VBG,IN,NNS,,,,
,,,,,,,,,,,
The,purpose,of,this,database,is,as,follows,,,,
DT,NN,IN,DT,NN,VBZ,IN,VBZ,,,,
,,,,,,,,,,,
A,subject,may,be,technical,or,non-technical,,,,,
DT,NN,MD,VB,JJ,CC,JJ,,,,,
,,,,,,,,,,,
The,database,contains,a,record,of,teachers,departments,and,courses,,
DT,NN,VBZ,DT,NN,IN,NNS,NNS,CC,NNS,,
